class,text
N,'Neither patients nor researchers were blinded to treatment'' Different dosage schedules make blinding impossible Potential knowledge of treatment may have influenced the primary outcome of MBL which was measured by PBAC
P,"""... the vaccination rates were estimated through administrative data."""
Q,"""180 patients were included in the study and randomly allocated to group A or B."""
N,"""A brightly coloured sticker was applied to the charts of the entire study population as a reminder to the health-care team that the study was under way and that they were expected to promote the flu vaccine.""; ""The patients would be 
told, whether by telephone or in the office, that the vaccine was available, and 
that they would be given a shot if they wished."""
P,"""A central research pharmacy over-capsulated 300 mg gabapentin and placebo capsules to appear identical"". Participants ""visually shielded from the image screen"" during injections"", had no further contact with physician"
Q,"""Active (mefenamic acid 500 mg) and placebo tablets, which were identical in appearance, were packaged in coded bottles, randomisation being provided by the manufacturer."""
N,"""after the initial treatment session, research technicians were not blind to group status. Research Technicians were not aware of the patients’ group status when conducting interviews and administering measures during the initial baseline assessment and treatment session."""
P,"""all capsules were identical in taste, color, size, and shape"""
Q,"""All patients received an appropriate combination of active and placebo tablets to achieve the required dosing and maintain the study blind - implies active and placebo were indistinguishable"""
P,"""all study medication was matched with placebo to maintain the double-blind nature of the study"""
P,"""Although contamination of the control group is sometimes a concern with such a design, it was not an issue here for two reasons: first, the financial intervention involved full Medicare reimbursement to physicians for preventive-care and health promotion packages only for those patients randomised to the intervention group; and second, the office system intervention was in effect only for patients receiving the intervention group. The control group was not identified to the practice, there was no prompting, no form, and no special preventive visit for the control-group patients""; ""Patients were informed of their random assignment only after they came into the practice for the interview"""
P,"""amoxicillin-placebo"" ""double-blind trial"""
P,"""blinded study"" ""placebo capsules"""
Q,"""Blinding, in the sense of blinding the investigators, was not necessary because the judgement of whether a preventive activity (including the administration of influenza vaccine) had been performed was made by searching the practice's electronic clinical record automatically""; ""Vaccinations were recorded by the doctors in their clinical record system's immunization module which used coded data entry to make the entries consistent and therefore machine-searchable. If our search found a record of influenza vaccine being given between 9th March (the start of our trial) and the 
end of June (the end of the useful immunization season), this was counted as 
influenza immunisation having been performed"""
P,"""blindly assigned (1:2 ratio) using computer generated random numbers either to integrated care (IC) or to usual care (UC)."""
Q,"""Both the patient and the attending physician were blinded as to the medication assignment""; no additional details provided with respect to outcome assessment"
P,"""capsules that were identical in appearance"""
P,"""capsules that were identical in appearance"""
P,"""double blind and used a single placebo technique"""
P,"""double blind, double dummy design"""
P,"""double blind, double dummy"""
P,"""double blind,double dummy"""
P,"""double blind? Using placebo of the same size and appearance as conventional metronidazole and clarithromycin tablets"""
Q,"""Double blind"""
P,"""double blind"" ""antibiotic matching placebo"""
P,"""double blind"" ""placebo treatment"""
P,"""double blind"" placebo"
P,"""double blind"" placebo"
P,"""double blind"", The medicine, starch or placebo (gastropine) was packed in gelatin capsules of similar appearance. The investigators did not know what medicines were given to patients, and the patients did not know what medicines they had taken"""
P,"""double dummy"""
P,"""double-blind"" ""identically appearing placebo"""
P,"""Drugs and placebos in exactly identical covering with codes only known to the researchers were given to the study samples."""
P,"""drugs placed in identical capsules"", ""matching placebo of nortriptyline"" to blind different dosing schedules"
P,"""endoscopic examinations were ultimately judged by an experienced endoscopist who was also not informed of the treatment"""
P,"""Endoscopies were performed by one of the authors, who was blinded to the clinical data, bacteriological findings and treatment regimen"""
P,"""endoscopy was performed at 3 month intervals by a gastroenterologist who was kept uninformed of the details of the patients' past medical histories"""
P,"""Gel was given prior to the investigation by a different operator from those who carried out hysteroscopy, and the patient, hysteroscopist and other staC were unaware of which gel had been used."""
P,"""identical appearing blue and grey capsules .... in accord with a double-dummy design"""
P,"""identical appearing placebos"""
P,"""identical capsules"""
P,"""identical capsules"""
P,"""identical capsules"""
P,"""identical placebo capsules"""
P,"""identical tablets/capsules containing active drug or placebo"""
P,"""Identical-appearing capsules containing placebo were used to blind the patients"""
P,"""identical-appearing capsules"""
P,"""identical, coded medication bottles containing identical tablets of gabapentin or placebo"""
P,"""identically appearing capsules"""
P,"""identically appearing capsules"""
P,"""identically appearing capsules"""
P,"""identically appearing placebo"""
P,"""In view of the double blind...both the active and the placebo infusions were coloured yellow..."""
P,"""Interviewers evaluating outcomes were blinded to the intervention group of participants and general practitioners at all times, and participants were unaware of the group allocation of their general practitioner."""
P,"""interviews carried out by a research assistant blinded to group assignment"""
P,"""investigator blinded clinical trial"""
P,"""investigator blinded"""
P,"""matched placebo"""
P,"""matching placebo"""
P,"""matching placebos were supplied to maintain the double-blind nature of the study"""
Q,"""Neither operating physician nor patient was are of which study antibiotic was used""; however, no details on outcome assessors were provided"
P,"""Nurses who undertook the vaccination clinics were unaware of the household allocation to control or intervention group."""
N,"""open study"""
P,"""Patients and investigators (or other personnel performing patient evaluations) were not aware of which regimen was being administered"""
P,"""Patients and their physicians were aware of the treatment assignment, but endoscopists and pathologists were not"""
P,"""Patients, researchers, and others involved in patient care were blind to study group; only acupuncturists and the designated research assistant were aware of which patients received true and which received placebo treatment"""
P,"""Patients, their gynaecologists, all investigators and evaluators were blinded to the random allocation throughout the study"""
P,"""Physicians and facilitators were blinded to the actual manoeuvres that would be included in the preventive performance index."""
P,"""placebo capsules were identical in appearance and taste"""
Q,"""Randomization was performed using a predetermined randomization code in a double blind fashion."""
P,"""results were not shared with the endoscopist"""
P,"""single blind"""
Q,"""single-blind"", but does not state if it was participants or researchers blinded; data entered on computer clinical tracking program"
P,"""staff performing the endoscopic and bacteriologic assessments were unaware of the drugs the patient had been taking"""
P,"""supplied in identical capsules in blinded fashion"". ""All participants were supplied with an equal number of capsules""."
P,"""The attending doctor, nursing staC and the women were all blinded to the identity of the medication used."""
P,"""The chart auditors were blinded as to the status of the practices and assessment of outcomes."""
P,"""The code was not broken until the woman had been classified as morbid or no-morbid and had been examined 6 weeks after surgery"""
P,"""the endoscopist was blinded to the treatment status of the patient"""
P,"""The investigator and staD were unaware of the antibiotic assignment"""
P,"""the investigator in charge of follow-up was"" blinded to the procedure"
P,"""The patients and the physician investigator were blinded to treatment assignment as long as the 24-hour assessment was not completed. The assessment was performed by the investigator and the nurse who administered the injection was not involved in the assessment process of the study."" (p.232)."
Q,"""The patients as well as the medical staC performing the hysteroscopy were unaware which gel had been used."" However the examiner performing the gel-instillation sonography (GIS) was aware of which gel had been used. Although the relevant intervention was blinded there is a high risk that the blinding could be broken, although the likely impact of this on the results is unclear."
P,"""The randomization code was not broken until the last woman attended the clinic"""
P,"""The single acupuncturist was trained to perform the same procedures at each consultation and was instructed not to discuss any aspect of the treatment procedures with the participants, to ensure participant blinding and consistency of treatment."""
P,"""The study remained blinded until all women were examined at a follow-up clinic visit"""
N,"""The study was not blinded in that physicians could be aware that a patient was a member of a family in the study if the patient mentioned that the family had received a letter."""
P,"""The study was open for participants but blinded for the healthcare workers responsible for caring for the patients."""
P,"""The vaccination data were obtained through prechart and postchart reviews conducted at these sites by trained outside reviewers."""
Q,"""The women were randomised prospectively double blind into two groups."""
N,"""This study was an open-label randomised trial."""
P,"""two experienced endoscopists, who were blind to the clinical data"""
Q,"""Volunteers ... made a follow-up contact to ascertain whether immunization(s) were received."""
Q,"""With placebo blinding"" - probably double-blinded; no additional information on outcome assessor"
Q,"""Women were randomly and double blindly assigned."""
Q,"""Women were randomly and double blindly assigned."""
P,"“10-mg melatonin tablets (Sigma Chemical, Munich, Germany, provided batchby-batch certificates of analysis authenticating the purity of each batch) or a placebo with identical characteristics. The capsules were manufactured in such a way that the placebo and active treatment appeared to be identical.” “Other individuals who were involved in patient care were unaware of the treatment group to which the patients belonged.” “Two independent medical examiners who were blind to the group assignments were trained to administer the pain scales and to conduct the psychological tests.”"
Q,"“A double-blind, randomised, placebo-controlled study carried on 240 high schools female students with dysmenorrhea in Urmia city by dividing into four groups with 60 members.” “They received drug boxes each month, and for all of them, possible drug complications were described and asked them to mention any occurred complications.” Comment: it is unclear whether or not the appearance of the treatment to both groups was the same in all aspects (different form; tablet, capsule)."
Q,"“A randomised, double blind study comparing FEO 1% and 2% with placebo”. Comment: there was no information on either the form of placebo, or the appearance of FEO and placebo. The study may not have accomplished blinding."
P,“Alcohol information was not included in the health packet [received by all participants] to avoid contamination” (p. 69)
P,"“All of the capsules were made by Boo Ali Research Center of Qom city and were completely similar in shape. In regarding the blinding process, the researchers and the participants were uninformed of allocating manner of each group and a third one that did not involve in analysing and interpreting”."
N,"“Blinding was not feasible, either for participants and GPs, or for outcome assessment and statistical analysis (p. 594)"
N,"“Due to our study design, blinding could not be conducted for the individual study participant and the staff member providing the counselling session” (p. 245)"
N,"“Each medication package was placed on a separate box, coded by letters A and B, and was given to each participant.” Comment: it is unclear whether or not the medication appearance in both groups was the same in all aspects, and also whether there was a difference of administrator"
P,"“Fenugreek seed's capsule content of 900 mg seed powder prescribed 3 times a day and 2- 3 capsules duration first three days of menstrual period and for persons in control group prescribed placebo (similar capsule with same recipe content starch) in two cycles.” “The capsules were similar with respect to shape, colour, and packaging.”"
N,"“Given the nature of the intervention, study participants and site staff could not be masked to treatment allocation” (p. 447)"
N,"“Group allocation was not blinded to the participant, clinicians performing interventions or the researchers conducting follow-up interviews” (p. 123)"
P,"“In a double-blind, randomised, placebo controlled trial, 100 students were randomly assigned to receive valerian (n=49) or placebo (n=51).” “The present study was a double-blind, randomised clinical trial.” “The participants and the researchers were blind as to who received valerian.” “The valerian capsules contained 255 mg powder of valerian root, whereas the placebo capsules contained starch. The capsules were similar in shape and packaging.”"
P,"“One of the goals of the trial was to blind subjects assigned to the control groups to minimize possible intervention effects. The subjects in both control groups were told that the trial focused on general health behaviours, including alcohol use” (p. 1228)"
N,"“oral fennel drop”. Comment: blinding was not mentioned. In addition, it is not possible to blind the participant to treatment (liquid forms (drop) versus capsule)."
P,“Participants were not informed of the hypotheses being tested” (p. 1734)
P,“Patients were blinded to the intervention applied” (p. 228)
P,“research assistants who were unaware of the intervention status implemented study procedures”
P,"“The capsules of Rosa damascena extract were produced with the same appearance, colour and odour as Mefenamic acid capsules” “During the study, the participants and the researcher were unaware of the drug”"
P,"“The capsules were identical in shape, package, and colour, and were coded by the pharmacologist. Neither the researcher nor the participants were informed of the type of ingredient in each capsule.”"
Q,"“The ginger and placebo capsules were prepared by a pharmacist. Briefly, fresh ginger root was chopped into small pieces, baked at 60°C for 24 hours, and then ground into powder. Ginger powder was weighed and 500 mg of it was filled in each capsule. Excess powder was wiped oC the capsule surface with a clean dry cloth. Both placebo and ginger capsules were packed in an envelope containing nine capsules.” Comment: it is unclear whether or not capsule appearance in both groups was the same in all aspects (e.g. colour)."
P,“The health screening survey was designed as a general lifestyle questionnaire to increase student acceptance of the research procedures and to minimize the intervention effect of the alcohol questions” (p. 26)
N,“The intervention group received 30 mg fennel capsules each 4 hours (8 am to 12 midnight) from about 3 days before menstruation till end of fiQh day for 3 months. There was no treatment for control group and they did not receive any placebo.” Comment: it was not possible to blind the participant to treatment as the control group did not receive any treatment.
P,"“The phyto-drug, ibuprofen and placebo were manufactured, standardized and packaged at Phyto-drugs Technology Research and Development Laboratory of the Mexican Institute of Social Security.” “All vials of medication (extract, placebo or ibuprofen) were identical and labelled with codes, which were known only to the investigators who manufactured the products.” Comment: participants were likely to be blinded as the interventions were standardised and packaged. All vials of medication were identical and labelled with codes, which were known only to the investigators who manufactured the products."
P,"“The placebo capsules contained toast powder. The capsules were similar in shape, taste and colour but one set contained 500 mg ginger powder per cap sule and the others were placebo capsules. The ginger capsules did not have 
distinguishable smell. The capsules were prepared in the Institute of Medicinal 
Plants and put into coded packages. Capsules and their packages were identical in appearance.” 
“This was a double- blind trial. Both the students and midwife providing care 
were blind to the treatment allocation. For this purpose, coded packages containing ginger and placebo capsules were used. The ginger and placebo capsules were identical in appearance, colour and taste.” 
“Students were asked to indicate a perception of pain intensity (most commonly) along a 10 cm horizontal line. Duration of pain was determined by asking each student to indicate the number of hours she had experienced pain 
during the first three days of the menstrual period.”"
P,"“The shape, size, and colour of the capsule of drugs were similar.” “The study was double-blinded, i.e. the researcher and students did not know which medication was administered.”"
P,"“This was a single-blind trial. The appearances of the experimental and control drug capsules were identical, and no aroma was detected from either”."
P,“trained interviewers who were masked to group assignment and study hypotheses and who had no role in the intervention interviewed them at 6 and 12 months.”
Q,"5 withdrew after randomization (2 in MFA group, 2 in ethamsylate group, 1 in TXA group) and lost to follow-up"
P,"Acupuncture control clearly designed to ensure blinding of participants, though not described as 'blind'"
P,Adequate
P,"Alcohol questions were disguised among questions relating to weight, smoking and exercise. Study was described to patients as being about lifestyles"
P,Alcohol questions were embedded with other health-related questions to minimise the intervention effect of the alcohol questions (p. 2199)
P,"All clinical and research staC were blinded to the allocation of participants, and the allocation schedule was kept in the office of the Chief Research Pharmacist in the host institution."
P,All clinical investigators were blinded to outcome determinations
Q,"All drugs encapsulated, but no mention of equal numbers and regimen or double-dummy method"
P,"All groups received needling treatments, differences unlikely to lead to unblinding in the context"
N,All patients received briefing that the intervention is about alcohol use and driving behaviours
P,All personnel with patient access remained blinded to which machine had been altered and which provided the stimulation.
Q,Although personnel involved in data collection and data analysis blinded it was not reported whether other personnel and participants were blinded.
Q,An oral placebo was used to single-blind participants. However outcome was not determined blind
N,"Article states 'blinding of researchers, clinicians or patients was not possible'."
N,Assessment was done using a 13-item self-reported behaviours questionnaire in the study participants and thereby introduced a possible bias
P,"Authors stated that the other group took ""placebo of identical appearance to the active drug"" and the treatment regimen was also the same for each group"
Q,Automated measurement devices were used but authors don't specifically state that outcome assessors were blinded
P,Blinded data collectors
P,Blinded outcome assessors
P,Blinded outcome assessors
P,Blinded outcome assessors.
P,Blinded outcome assessors.
P,"Blinded participant (though control group felt no electrical stimulation), blinded assessor"
P,Blinded participants and outcome assessors
P,"Blinded. Single physician assessment. ""success of blinding was assessed by the accuracy of the physicians prediction at the end of the study"" (34% correctly identified only)"
Q,Blinding not described
Q,Blinding not possible due to recalls and prompts.
Q,"Blinding not possible, as treating GPs received summary statements about participants as part of intervention."
Q,Blinding not reported
Q,Blinding of assessors was not described Possibly high risk of performance bias for personnel
N,"Blinding of intervention - no Blinding of outcome assessment - yes for chest X-ray, no for use of IPPV"
N,Blinding of intervention - no. Blinding of outcome assessment - not for use of IPPV
P,"Blinding of participant and care provider, but unsure about outcome assessor"
P,"Blinding of participant and care provider, but unsure about outcome assessor"
P,Blinding of participants and personnel
N,Blinding of participants was not mentioned but seemed inadequate or very unlikely since the intervention and control treatment had different routes of administration
Q,"Blinding of participants, study staG or medical staG was not reported."
P,Blinding of postoperative evaluation
N,Blinding of treatment - no. Blinding of outcome assessments - not stated.
N,Blinding was not performed
N,Blinding was not performed
N,Blinding was not performed
N,Blinding was not performed
N,Blinding was not performed
N,Blinding was not performed
N,Blinding was not performed
N,Blinding was not performed
N,Blinding was not performed
N,Blinding was not performed
N,Blinding was not performed
N,Blinding was not performed
N,Blinding was not performed
N,Blinding was not performed
N,Blinding was not performed
N,Blinding was not performed
Q,Blinding was not possible because of the nature of the interventions
Q,Blinding was not possible because of the nature of the interventions and non blinding was not likely to affect the outcomes of interest
Q,Blinding was not possible because of the nature of the interventions and nonblinding was not likely to affect the outcomes of interest
Q,Blinding was not possible because of the nature of the interventions and nonblinding was not likely to affect the outcomes of interest
Q,Blinding was not possible because of the nature of the interventions and nonblinding was not likely to affect the outcomes of interest
Q,Blinding was not possible because of the nature of the interventions and nonblinding was not likely to affect the outcomes of interest
Q,Blinding was not possible because of the nature of the interventions and nonblinding was not likely to affect the outcomes of interest
Q,Blinding was not possible because of the nature of the interventions and nonblinding was not likely to affect the outcomes of interest
Q,Blinding was not possible because of the nature of the interventions and nonblinding was not likely to affect the outcomes of interest
Q,Blinding was not possible because of the nature of the interventions and nonblinding was not likely to affect the outcomes of interest
Q,Blinding was not possible because of the nature of the interventions and nonblinding was not likely to affect the outcomes of interest
Q,Blinding was not possible because of the nature of the interventions and nonblinding was not likely to affect the outcomes of interest
Q,Blinding was not possible because of the nature of the interventions and nonblinding was not likely to affect the outcomes of interest
Q,Blinding was not possible because of the nature of the interventions and nonblinding was not likely to affect the outcomes of interest
Q,Blinding was not possible because of the nature of the interventions and nonblinding was not likely to affect the outcomes of interest
Q,Blinding was not reported
Q,"Blinding was not used due to the nature of the interventions; no information on outcome assessment; however, non-blinding of outcome assessors may not have affected some of the outcome measures as they were objectively assessed."
P,Blinding was performed
P,Both arms receive initial intervention so no differential knowledge of intervention between the groups
P,Both participants and carers blind to treatment allocation
N,Both the investigators and the patients knew whether the patients were assigned to biofeedback or to pills Partial blinding between diazepam and placebo only
P,"Both treatments were clear liquids. Saline (placebo) ""seemed identical to gabapentin"""
P,"Capsules with ""identical shape and colour"""
P,"Comment: Blinding is implied but not explicitly stated. Quote: ""This was a prospective, randomized, double-blind, placebo-controlled clinical trial of the effect of mannitol on systolic BP in multiply injured patients with severe head injuries"". Quote: ""The study solutions were prepared by the pharmacy department and were identified by a code number. An envelope showing the code number identified the contents of that IV bag. If the treating physicians at the receiving trauma center believed it was necessary to know whether the patient had received mannitol or placebo, the envelope could be opened"". Quote: ""At the conclusion of the 2-hour monitoring period, the EM resident and the investigator recording the patient data were asked to provide their guesses as to whether mannitol or placebo had been administered to the patient. For those patients actually given mannitol, the resident correctly picked mannitol in 11 of 13 cases for which a guess was given; and the investigators correctly picked mannitol in 13 of 14 cases. For those patients actually given placebo, the resident correctly picked placebo in 5 of 10 cases for which a guess was given; and the investigators correctly picked placebo for 13 of 16 cases""."
P,Comment: both capsules were identical and packed in similar packages and were only identifiable by a code. Both clinicians and participants were blinded.
P,Comment: both the clinician and participants were blinded.
,Comment: not stated
,"Comment: not stated in study report, but author responded to request for further information by stating the investigators and outcome assessors were blinded."
,"Comment: not stated in study report, but author responded to request for further information by stating the investigators and outcome assessors were blinded."
,"Comment: not stated in study report, but author responded to request for further information by stating the investigators and outcome assessors were blinded."
,"Comment: not stated in study report, but author responded to request for further information by stating the investigators and outcome assessors were blinded."
,"Comment: not stated in study report, but author responded to request for further information by stating the investigators and outcome assessors were blinded. Both Gethin and Jull have reported how it was difficult or impossible to blind outcome assessment due to discolouration of peri-ulcer skin by honey. We have therefore classed all as unclear risk for blinding of outcome assessors."
,"Comment: not stated in study report, but author responded to request for further information by stating the investigators and outcome assessors were blinded. Both Gethin and Jull have reported how it was difficult or impossible to blind outcome assessment due to discolouration of peri-ulcer skin by honey. We have therefore classed all as unclear risk for blinding of outcome assessors"
,"Comment: not stated in study report, but author responded to request for further information by stating the investigators and outcome assessors were blinded. How blinding was achieved was not described in the response."
,Comment: not stated.
,Comment: not stated.
,Comment: not stated.
,Comment: not stated.
,Comment: not stated.
,Comment: not stated. However the difference in interventions means that blinding unlikely.
Q,"Comment: outcome assessors and treating physicians were blinded. Vitamin E and placebo were identical in shape, colour, taste, and smell."
P,"Comment: participants and observers were blinded, and the placebo was identical."
Q,Comment: the study authors did not mention blinding but used a placebo for the comparator.
N,"Comment: the study authors did not mention blinding. In addition, blinding might not be accomplished as the difference of dose (2 tablets versus 1 tablets) and administrator."
,Comment: the study is described by the authors as double blind although quite how blinding was maintained is not reported. Nevertheless we have rated this as low risk for performance bias on the basis of the blinding
Q,Comment: the study states double-blinded.
N,"Comment: the study was not blinded, and there was no placebo intervention."
P,"Comment: triple blinded (patients, clinicians, and statisticians were all blinded). The placebo and cinnamon capsule were completely identical and were manufactured by the same company. They were packed in an identical package and were distinguishable by a code on the packets."
P,"CRC diagnosis and cause of death obtained from public registries. In cases of uncertainty of cause of death, an independent reviewer who was blinded to study group allocation evaluated case records"
P,Daily billing forms were reviewed by trained research assistant.
P,Data extractors abstracted data from primary care practice records and were blinded.
P,Data were obtained from administrative databases and chart review to measure vaccination uptake.
Q,"Described as ""double-blind""; method not described"
Q,"Described as an open-label trial, thus both participants and personnel were aware of the treatment protocols. However, non-blinding of outcome assessors may not have affected some of the outcome measures as they were objectively assessed."
Q,Described as double-blind - no details given
P,"Described as double-blind, and interventions were appropriate"
Q,"Described as double-blind, no further details given."
P,"described as single blind, and interventions appropriate"
P,"Described as single blind, and the interventions were appropriate"
P,"Described as single blind, and the interventions were appropriate"
Q,Described only as double-blinded
Q,Described only as double-blinded
,different interventions at the same site visible
P,Double blind
P,"Double blind, with double-dummy technique"
P,"Double blind. ""Consecutive outpatients were randomly assigned to receive in a double-blind fashion one of the following subcutaneous treatments."" ""All primary and secondary outcomes were evaluated by a central adjudication committee, whose members were not involved in patient recruitment."""
P,Double blind. Women in control group received a placebo.
Q,Double Blind'
P,Double blinded - outcome assessor and the women were blinded
P,Double blinded. “Both the woman and the attending medical staC were unaware of the medication used.”
P,Double blinding (participants and nurses blinded)
P,Double blinding was possible as depot was available in 2% and 10% solutions. No information on test of blinding though.
P,"Double blinding. ""Neither the patient nor the physician were aware of the drug used."""
